Binomial.1.2,pre_domestic_name,k_medoid_herbivore,Order.1.2,Family.1.2,Mass.g,Mass.Method,Mass.Source,Mass.Comparison,Mass.Comparison.Source,guild,Diet.Graminoids,Diet.Browse.Fruit,Diet.Meat_median,Browsing.Grazing.Method,Browsing.Grazing.Source,Browsing.Grazing.Notes,Fermentation.Type,Inferred.Fermentation.Type,Inferred.Fermentation.Efficiency,Fermentation.Type.Method,Fermentation.Type.Source,Fermentation.Type.Notes,Substrate.Aquatic,Substrate.Terrestrial,Substrate.Arboreal,Substrate.Source,Substrate.Notes,Food.Handling,Food.Handling.Source,Foot.Type,Foot.Type.Coarse,Foot.Type.Notes,Foot.Type.Source,Diet.Seed,Diet.Fruit,Diet.Nectar,Diet.Root,Herd.Size,Herd.Size.Notes,Herd.Size.Source,Digging.Rooting,Digging.Rooting.Methods,Digging.Rooting.Notes,Digging.Rooting.Source,Other.Notes,Island.Endemicity,IUCN.Status.1.2,Substrate.Cat,LogMassKg,LogMassKg.cat,LogMassKg.cat.label,GuildSimple,full.FE,simple.FE
Tremarctos_floridanus,NA,yes,Carnivora,Ursidae,150000,Reported,Ecological Archives E084-094 (2003),NA,NA,omnivore,0,3,2,Estimated,"Figueirido, B., & Soibelzon, L. H. (2010). Inferring palaeoecology in extinct tremarctine bears (Carnivora, Ursidae) using geometric morphometrics. Lethaia, 43(2), 209â€“222. https://doi.org/10.1111/j.1502-3931.2009.00184.x; Pappa et al. 2018, Palaeogeography Palaeoclimatology Palaeoecology",Based on morphological characteristics,Simple Gut,Simple Gut,0,Reported Order,extrapolated based on extant relatives,NA,0,1,0,Inferred from extant relatives,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,2.176091259,"(2.17,2.56]",L4,browser,FOpl_LOl4_FEsg_SUte_GUbr,Ll4_Fsg_Gbr
Tremarctos_ornatus,NA,yes,Carnivora,Ursidae,140000.6,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,0,3,2,Estimated,"9, IUCN 2019; Pappa et al. 2018, Palaeogeography Palaeoclimatology Palaeoecology",NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,NA,Plantigrade,soft,,Kubo et al. 2019,0,3,0,0,Solitary/pairs,NA,9,,,,,NA,Occurs on mainland,VU,terrestrial,2.146129897,"(1.78,2.17]",L3,browser,FOpl_LOl3_FEsg_SUte_GUbr,Ll3_Fsg_Gbr
Ursus_arctos,NA,yes,Carnivora,Ursidae,180520.4,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,omnivore,3,3,3,Estimated; Observed,"9, Persson et al. 2001, Wildlife Biology",NA,Simple Gut,Simple Gut,0,Reported Order,2,NA,0,1,0,14,NA,Mouth + Hands,NA,Plantigrade,soft,,Kubo et al. 2019,0,3,0,3,Solitary/pairs,NA,9,rooting,,,9,NA,Occurs on mainland,LC,terrestrial,2.256526287,"(2.17,2.56]",L4,mixed feeder,FOpl_LOl4_FEsg_SUte_GUmi,Ll4_Fsg_Gmi
Ursus_spelaeus,NA,yes,Carnivora,Ursidae,390416.7,Reported,Annales Zoologica Femnica 36 93-102 (2011),NA,NA,omnivore,3,3,3,Estimated Dental wear (microwear) Species;,"Peigne et al. 2009 PNAS, ï»¿Richards, M. P., Pacher, M., Stiller, M., QuilÃ¨s, J., Hofreiter, M., Constantin, S., â€_ Trinkaus, E. (2008). Isotopic evidence for omnivory among European cave bears: Late Pleistocene Ursus spelaeus from the PeÅŸtera cu Oase, Romania. Proceedings of the National Academy of Sciences of the United States of America, 105(2), 600â€“4. https://doi.org/10.1073/pnas.0711063105; ï»¿Brent Jones, D., Desantis, L. R., DESANTIS Jones, L. R., Jones davisbjones, B., & DeSantis Larisa, L. R. (2016). Dietary Ecology of the Extinct Cave Bear: Evidence of Omnivory as Inferred from Dental Microwear Textures. Acta Palaeontol. Pol, 61(4), 735â€“741. https://doi.org/10.4202/app.00253.2016",NA,Simple Gut,Simple Gut,0,Reported Order,extrapolated based on extant relatives,NA,0,1,0,Inferred from extant relatives,NA,Mouth + Hands,NA,Plantigrade,soft,,Reported morphology Family,NA,NA,NA,NA,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,2.591528386,"(2.56,2.95]",L5,mixed feeder,FOpl_LOl5_FEsg_SUte_GUmi,Ll5_Fsg_Gmi
Antilocapra_americana,NA,yes,Cetartiodactyla,Antilocapridae,46082.9,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,browser,1,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,LC,terrestrial,1.663539801,"(1.39,1.78]",L2,browser,FOun_LOl2_FEru_SUte_GUbr,Ll2_Fru_Gbr
Capromeryx_minor,NA,yes,Cetartiodactyla,Antilocapridae,10510,Reported,"Davis, M. 2017. What North AmericaÌ¢‰âÂ‰ã¢s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Socieity B 284:20162116.",NA,NA,browser,0,3,0,Estimated Isotopes (C13) Species,"Bravo-Cuevas, V. M., Jimenez-Hidalgo, E., Cabral-Perdomo, M. A., & Priego-Vargas, J. (2013). Taxonomy and notes on the paleobiology of the late Pleistocene (Rancholabrean) antilocaprids (Mammalia, Artiodactyla, Antilocapridae) from the state of hidalgo, central Mexico. Revista Mexicana de Ciencias Geologicas, 30(3), 601â€“613.",,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,1.021602716,"[1,1.39]",L1,browser,FOun_LOl1_FEru_SUte_GUbr,Ll1_Fru_Gbr
Stockoceros_conklingi,NA,yes,Cetartiodactyla,Antilocapridae,51000,Reported,Ecological Archives E084-094 (2003),NA,NA,grazer,3,0,0,Estimated Expert Species,"Davis, M. (2017). What North Americaâ€™s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Society of London B: Biological Sciences, 284(1846), 1â€“7. https://doi.org/10.1098/rspb.2016.2116",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,1.707570176,"(1.39,1.78]",L2,grazer,FOun_LOl2_FEru_SUte_GUgr,Ll2_Fru_Ggr
Tetrameryx_shuleri,NA,yes,Cetartiodactyla,Antilocapridae,60000,Reported,Ecological Archives E084-094 (2003),NA,NA,browser,1,3,0,Estimated Expert Species,"Davis, M. (2017). What North Americaâ€™s skeleton crew of megafauna tells us about community disassembly. Proceedings of the Royal Society of London B: Biological Sciences, 284(1846), 1â€“7. https://doi.org/10.1098/rspb.2016.2116",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,extrapolated based on extant relatives,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Reported morphology Family,0,0,0,0,NA,NA,NA,,,,,NA,Occurs on mainland,EP,terrestrial,1.77815125,"(1.39,1.78]",L2,browser,FOun_LOl2_FEru_SUte_GUbr,Ll2_Fru_Gbr
Addax_nasomaculatus,NA,yes,Cetartiodactyla,Bovidae,70000.3,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,grazer,3,1,0,Estimated,"1,33",NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,1,,,,,NA,Occurs on mainland,CR,terrestrial,1.845099901,"(1.78,2.17]",L3,grazer,FOun_LOl3_FEru_SUte_GUgr,Ll3_Fru_Ggr
Aepyceros_melampus,NA,yes,Cetartiodactyla,Bovidae,52500.1,Reported,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403 (Updated Version 4.1 obtained from senior author).",NA,NA,mixed feeder,3,3,0,Estimated,1,NA,Foregut Ruminating,Foregut Ruminating,3,Reported Family,2,NA,0,1,0,"1, 104",NA,Mouth,NA,Unguligrade,hoofed,two-toed unguligrade,Kubo et al. 2019,0,0,0,0,Gregarious,NA,11,,,,,NA,Occurs on mainland,LC,terrestrial,1.720160131,"(1.39,1.78]",L2,mixed feeder,FOun_LOl2_FEru_SUte_GUmi,Ll2_Fru_Gmi
